Complex,Sentence Length,Word Length
0,22.5,4.4
0,22,4.4
0,18.25,5
0,12,4.4
0,26.1,4.4
0,15.3,4.3
0,19.9,4.8
0,16.4,4.5
0,16.8,4.9
0,16.5,4.1
0,10.6,5.4
0,18.25,4
0,10.3,4.6
0,11.4,4.7
0,14.5,4.4
0,15.6,4.65
0,14.2,4.84
0,12.5,5
0,15.8,4.8
0,14,4.4
0,13.2,4.6
1,19.46,5.3
1,26.55,5.5
1,18.5,5.1
1,21,4.8
1,22.9,5.4
1,24.8,4.8
1,24.9,5.1
1,21.8,4.6
1,19.8,5.3
1,18.6,5.2
1,19.3,5.6
1,21.85,4.9
1,20,5.1
1,27.2,5.6
1,23.7,5.6
1,17.1,5.7
1,17.4,5.4
1,19.3,5.4
1,21.2,5.2
1,24,4.9
1,21.5,5.8
